,screen_name,idx,clean_text,selection,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
30444,veteranstoday,30444,"Rag Radio: Acclaimed Progressive Hip-Hop Duo, Riders Against the Storm - - Chaka and Qi...",happy,Fake,1,-1,14.1,17.6,150.5,-0.164,-0.169,0.17,1.51,0.0,0.57,0.73,2.14,1.0,0.21,2.67,2.52,1.89,0.59,0.0,0.0,0.0,2.51,0.58,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21632489562034607,0.7836751341819763,0.0,0.0018730415031313896,0.7576622366905212,0.24046474695205688,2.473406757186325e-10,2.873703674217593e-25,1.391341480766936e-16,1.0,5.322406469547569e-13,5.776605322554973e-12,1.1572149904992557e-09
37273,veteranstoday,37273,Why did Donald Trump recognise Jerusalem as the capital of Israel? - - The decision o...,happy,Fake,1,129,1.7,4.9,145.3,-0.163,0.096,-0.058,0.67,0.43,0.64,0.0,3.02,2.65,1.9,2.33,2.88,0.58,0.14,0.0,0.7,0.0,2.45,1.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.387356698513031,0.612643301486969,0.0,0.16018831729888916,0.8135761618614197,0.026235606521368027,1.4796727772513145e-18,1.3968483170711487e-34,1.0731428359877018e-13,0.9999996423721313,7.30018665960272e-14,9.035665688968478e-14,3.391607208413916e-07
28978,veteranstoday,28978,"TradCatKnight Radio, Pope Benedict XVI ""Church Is going Underground"" - - TradCatKnight ...",happy,Fake,1,-1,24.4,14.9,145.7,-0.106,-0.087,0.095,0.0,0.0,0.0,0.26,1.85,2.25,1.33,1.25,0.86,1.08,1.14,0.0,1.37,0.05,0.0,0.84,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4465205669403076,0.5534794330596924,0.0,0.12568023800849915,0.06595364958047867,0.8083661198616028,7.221157005687928e-09,2.1939311386743953e-20,1.1503363366027752e-11,0.9999995231628418,1.296233786973744e-09,6.74406155920515e-11,4.829472572964733e-07
35070,veteranstoday,35070,"Thanksgiving for JFK - - If he had lived, President John F. Kennedy would have been 10...",happy,Fake,1,91,9.0,21.9,132.9,-0.11,-0.059,-0.078,0.29,0.0,3.25,0.0,2.53,1.8,0.98,3.19,2.76,1.86,0.32,0.0,0.84,0.0,2.51,0.21,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29177966713905334,0.7082203030586243,0.0,0.15269097685813904,0.5559414625167847,0.2913675308227539,7.023557625253363e-13,4.368506356894168e-15,8.627849723552572e-08,0.9999986886978149,1.6783317846602586e-07,1.5490137384582825e-12,9.806315119931241e-07
34771,veteranstoday,34771,1963: U.S President John F. Kennedy assassinated on this day in history - - On this 22...,happy,Fake,1,91,9.0,21.9,132.9,-0.11,-0.059,-0.078,0.29,0.0,3.25,0.0,2.53,1.8,0.98,3.19,2.76,1.86,0.32,0.0,0.84,0.0,2.51,0.21,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29177966713905334,0.7082203030586243,0.0,0.15269097685813904,0.5559414625167847,0.2913675308227539,7.023557625253363e-13,4.368506356894168e-15,8.627849723552572e-08,0.9999986886978149,1.6783317846602586e-07,1.5490137384582825e-12,9.806315119931241e-07
31139,veteranstoday,31139,Harvey Weinstein hired Mossad agents in 2016 to destroy Rose McGown - - ...by Jonas ...,happy,Fake,1,-1,-12.2,14.1,133.8,0.006,-0.052,-0.102,0.0,0.0,0.0,0.17,1.13,2.11,0.0,1.14,2.35,1.39,0.0,0.0,1.24,0.0,1.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23386715352535248,0.7661328315734863,0.0,0.16531823575496674,0.1797463446855545,0.6549354195594788,5.878742805054404e-12,1.2498647439606025e-16,6.192475421329391e-09,0.9999982118606567,2.7558163750995845e-08,3.233228615395767e-11,1.759228666742274e-06
35828,veteranstoday,35828,Nonprofit works to gets veterans back to work - - Much has changed in Chris White's li...,happy,Fake,1,-1,5.0,10.6,132.6,-0.04,0.021,-0.015,0.0,0.0,0.0,0.0,1.24,0.95,0.0,0.34,2.58,1.78,0.18,0.0,1.87,0.0,1.21,1.07,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3823012709617615,0.6176987290382385,0.0,0.10641246289014816,0.5262468457221985,0.36734068393707275,5.924565016357519e-07,4.624002955187073e-20,5.726837892794379e-10,0.9999980926513672,1.258247607438534e-06,1.4903185352466153e-09,1.2496593759792063e-09
29795,veteranstoday,29795,Rag Radio: Leading Civil Rights Activist Speaks Truth to Power - - RAG RADIO: Paul Spik...,happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48907533288002014,0.41566988825798035,0.0952548012137413,0.051807403564453125,0.721351683139801,0.22684091329574585,6.887780568121116e-09,1.864438828470937e-23,8.354180541791933e-11,0.9999973773956299,3.7341207903551776e-10,1.677482042161671e-10,2.650265514603234e-06
30464,veteranstoday,30464,"Rag Radio: Palestine, Zionism and Human Rights - - Rag Radio host Thorne Dreyer intervi...",happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48907533288002014,0.41566988825798035,0.0952548012137413,0.051807403564453125,0.721351683139801,0.22684091329574585,6.887780568121116e-09,1.864438828470937e-23,8.354180541791933e-11,0.9999973773956299,3.7341207903551776e-10,1.677482042161671e-10,2.650265514603234e-06
30459,veteranstoday,30459,Rag Radio: Political Scientist Harry Targ on the Rise of Resistance - - Harry Targ is a...,happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48907533288002014,0.41566988825798035,0.0952548012137413,0.051807403564453125,0.721351683139801,0.22684091329574585,6.887780568121116e-09,1.864438828470937e-23,8.354180541791933e-11,0.9999973773956299,3.7341207903551776e-10,1.677482042161671e-10,2.650265514603234e-06
30451,veteranstoday,30451,Rag Radio: Historian and Journalist Michael Hurd: 500 Years of Black History &amp; Culture in Texas - ... - From Es...,happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48907533288002014,0.41566988825798035,0.0952548012137413,0.051807403564453125,0.721351683139801,0.22684091329574585,6.887780568121116e-09,1.864438828470937e-23,8.354180541791933e-11,0.9999973773956299,3.7341207903551776e-10,1.677482042161671e-10,2.650265514603234e-06
29545,veteranstoday,29545,Speaking Truth to Empire with Cindy Sheehan - - Dan Yaseen with Cindy Sheehan - Veteran...,happy,Fake,1,-1,8.9,12.2,144.1,0.008,0.037,-0.079,0.6,0.0,0.79,0.0,3.65,3.26,0.73,2.96,3.86,1.61,0.0,0.0,1.47,0.02,3.52,0.67,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3999781906604767,0.6000217795372009,0.0,0.0,0.0,1.0,6.3939216943254e-07,2.1125074496416155e-16,9.699510084004714e-10,0.9999856948852539,1.4626541542384075e-06,4.2573458358674543e-07,1.18421721708728e-05
29551,veteranstoday,29551,Speaking Truth to Empire: Interview with Cindy Sheehan - - Host Dan Yaseen talks to Cin...,happy,Fake,1,-1,8.9,12.2,144.1,0.008,0.037,-0.079,0.6,0.0,0.79,0.0,3.65,3.26,0.73,2.96,3.86,1.61,0.0,0.0,1.47,0.02,3.52,0.67,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3999781906604767,0.6000217795372009,0.0,0.0,0.0,1.0,6.3939216943254e-07,2.1125074496416155e-16,9.699510084004714e-10,0.9999856948852539,1.4626541542384075e-06,4.2573458358674543e-07,1.18421721708728e-05
